Step,Mu,Sigma,Hamiltonian,Error
444,0.915284,0.655167,-0.313487,0.0241255
445,0.915284,0.655167,-0.286172,0.0329843
446,0.915284,0.655167,-0.367311,0.0176989
447,0.915284,0.655167,-0.275422,0.0374795
448,0.915284,0.655167,-0.304813,0.0302504
449,0.915284,0.655167,-0.31247,0.0288645
450,0.915284,0.655167,-0.338861,0.0249196
451,0.877145,0.587681,-0.31366,0.0152731
452,0.79471,0.610167,-0.392178,0.0136485
453,0.79471,0.610167,-0.384985,0.0124864
454,0.79471,0.610167,-0.375478,0.0201392
455,0.79471,0.610167,-0.383008,0.0130608
456,0.796886,0.653496,-0.364203,0.0231529
457,0.828501,0.747931,-0.271154,0.0390398
458,0.828501,0.747931,-0.318293,0.0387778
459,0.911874,0.754267,-0.188588,0.0450257
460,0.967605,0.693322,-0.260901,0.0363514
461,0.967605,0.693322,-0.180125,0.0437095
462,0.883803,0.601626,-0.305321,0.0255548
463,0.841907,0.589804,-0.361877,0.0138973
464,0.824476,0.623616,-0.369297,0.0197302
465,0.854671,0.626969,-0.411849,0.0106475
466,0.854671,0.626969,-0.378596,0.0151147
467,0.854671,0.626969,-0.387342,0.0141394
468,0.854671,0.626969,-0.384069,0.0122328
469,0.854671,0.626969,-0.360128,0.0192415
470,0.854671,0.626969,-0.393449,0.0149465
471,0.854671,0.626969,-0.389753,0.0140274
472,0.854671,0.626969,-0.361815,0.0348102
473,0.854671,0.626969,-0.351077,0.0223245
474,0.80766,0.724092,-0.34906,0.0237806
475,0.80766,0.724092,-0.314696,0.0331141
476,0.80766,0.724092,-0.303515,0.0351216
477,0.777543,0.685587,-0.376298,0.0167715
478,0.777543,0.685587,-0.321707,0.0542492
479,0.784038,0.611787,-0.380722,0.012354
480,0.784038,0.611787,-0.382831,0.0100228
481,0.870612,0.592224,-0.353803,0.0135417
482,0.799114,0.573317,-0.363387,0.00850585
483,0.799114,0.573317,-0.351918,0.0104449
484,0.799114,0.573317,-0.34688,0.0119746
485,0.70879,0.60464,-0.360356,0.00939417
486,0.743167,0.590571,-0.364544,0.0106783
487,0.743167,0.590571,-0.372651,0.0139272
488,0.812375,0.63007,-0.386665,0.0247055
489,0.812375,0.63007,-0.410184,0.00993526
490,0.812375,0.63007,-0.378627,0.0215464
491,0.853612,0.703056,-0.314014,0.0305278
492,0.853612,0.703056,-0.334502,0.0248675
