#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         622     0.81513    0.771793  0.00922789
         623    0.815359    0.771863  0.00921334
         624    0.815592    0.771933  0.00919884
         625     0.81583    0.772003  0.00918439
         626    0.816073    0.772074  0.00916999
         627    0.816322    0.772144  0.00915564
         628    0.816577    0.772215  0.00914133
         629    0.816841    0.772286  0.00912707
         630    0.817112    0.772357  0.00911286
         631    0.817392    0.772429   0.0090987
         632     0.81768      0.7725  0.00908459
         633    0.817978    0.772572  0.00907052
         634    0.818286    0.772644   0.0090565
         635    0.818605    0.772716  0.00904253
         636    0.818934    0.772789   0.0090286
         637    0.819275    0.772862  0.00901472
         638    0.819627    0.772935  0.00900089
         639    0.819991    0.773009  0.00898711
         640    0.820366    0.773083  0.00897337
         641    0.820753    0.773157  0.00895968
         642    0.821153    0.773232  0.00894603
         643    0.821565    0.773307  0.00893244
         644    0.821989    0.773383  0.00891889
         645    0.822426    0.773459  0.00890538
         646    0.822875    0.773535  0.00889193
         647    0.823338    0.773612  0.00887852
         648    0.823814     0.77369  0.00886515
         649    0.824301    0.773768  0.00885183
         650    0.824801    0.773846  0.00883856
         651    0.825313    0.773925  0.00882534
         652    0.825836    0.774005  0.00881216
         653    0.826371    0.774085  0.00879903
         654    0.826916    0.774166  0.00878595
         655    0.827472    0.774247  0.00877291
         656    0.828038    0.774329  0.00875992
         657    0.828613    0.774412  0.00874698
         658    0.829197    0.774495  0.00873408
         659     0.82979    0.774579  0.00872123
         660    0.830391    0.774664  0.00870843
         661       0.831    0.774749  0.00869567
         662    0.831615    0.774835  0.00868296
         663    0.832235    0.774922   0.0086703
         664    0.832859    0.775009  0.00865768
         665    0.833486    0.775097   0.0086451
         666    0.834116    0.775185  0.00863258
         667    0.834746    0.775275   0.0086201
         668    0.835378    0.775365  0.00860766
         669    0.836011    0.775455  0.00859527
         670    0.836641    0.775547  0.00858293
         671    0.837269    0.775639  0.00857063
         672    0.837894    0.775731  0.00855838
         673    0.838515    0.775824  0.00854617
         674     0.83913    0.775918  0.00853401
         675    0.839737    0.776013  0.00852189
         676    0.840337    0.776108  0.00850981
         677    0.840927    0.776204  0.00849778
         678    0.841507      0.7763  0.00848579
         679    0.842078    0.776397  0.00847385
         680    0.842636    0.776494  0.00846195
         681    0.843181    0.776592  0.00845009
         682     0.84371    0.776691  0.00843827
         683    0.844224     0.77679   0.0084265
         684    0.844721    0.776889  0.00841476
         685    0.845202    0.776989  0.00840307
         686    0.845664    0.777089  0.00839141
         687    0.846107    0.777189   0.0083798
         688    0.846531     0.77729  0.00836823
         689    0.846935    0.777391  0.00835669
         690    0.847316    0.777493   0.0083452
         691    0.847674    0.777594  0.00833374
         692    0.848011    0.777696  0.00832232
         693    0.848324    0.777798  0.00831093
         694    0.848614      0.7779  0.00829958
         695    0.848878    0.778002  0.00828827
         696    0.849118    0.778104  0.00827699
         697    0.849331    0.778206  0.00826574
         698    0.849519    0.778308  0.00825453
         699    0.849681    0.778411  0.00824336
         700    0.849816    0.778513  0.00823221
         701    0.849924    0.778614   0.0082211
         702    0.850003    0.778716  0.00821002
         703    0.850053    0.778818  0.00819896
         704    0.850075    0.778919  0.00818794
         705    0.850069     0.77902  0.00817695
         706    0.850035     0.77912  0.00816599
         707    0.849973    0.779221  0.00815505
         708    0.849883     0.77932  0.00814414
         709    0.849764     0.77942  0.00813326
         710    0.849617    0.779519  0.00812241
         711    0.849441    0.779617  0.00811158
         712    0.849237    0.779715  0.00810078
         713    0.849004    0.779812     0.00809
         714    0.848744    0.779908  0.00807924
         715    0.848456    0.780004  0.00806851
         716    0.848141    0.780099  0.00805781
         717    0.847798    0.780194  0.00804712
         718    0.847428    0.780288  0.00803646
         719    0.847032     0.78038  0.00802582
         720    0.846611    0.780472   0.0080152
         721    0.846163    0.780563   0.0080046
